source,line_code,line_id,เจ้าของโครงการ (รัฐ),ผู้เดินรถ / สัมปทาน (เอกชน),station_name,station,entry,bus_stop_count,win_count,songtaew_count,minibus_count,taxi_count,tuktuk_count,samlor_count,van_count,kiss_ride_count,park_ride_car_count,park_ride_moto_count,bike_parking_count,bike_share_count,scooter_share_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_min_dist,bike_share_mean_dist,bus_stop_min_dist,bus_stop_mean_dist,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_min_dist,minibus_mean_dist,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_min_dist,park_ride_moto_mean_dist,samlor_min_dist,samlor_mean_dist,scooter_share_min_dist,scooter_share_mean_dist,songtaew_min_dist,songtaew_mean_dist,taxi_min_dist,taxi_mean_dist,tuktuk_min_dist,tuktuk_mean_dist,van_min_dist,van_mean_dist,win_min_dist,win_mean_dist,n_segments,road_width_mean,road_width_min,road_width_max,sw_width_mean,sw_total_length,sidewalk_length,sidewalk_length_1,sidewalk_length_2,road_length_gt4m,road_length_gt4m_atleast1sw,sidewalk_length_surface_neg1,surface_pct_neg1,sidewalk_length_surface_0,surface_pct_0,sidewalk_length_surface_1,surface_pct_1,sidewalk_length_shade_neg1,shade_pct_neg1,sidewalk_length_shade_0,shade_pct_0,sidewalk_length_shade_1,shade_pct_1,sidewalk_length_obstacle_neg1,obs_pct_neg1,sidewalk_length_obstacle_0,obs_pct_0,sidewalk_length_obstacle_1,obs_pct_1,POP25,PRIM25,SEC25,TER25,STU25,TOUR25,COMAR25,TPL25,POP27,PRIM27,SEC27,TER27,STU27,TOUR27,COMAR27,TPL27,POP32,PRIM32,SEC32,TER32,STU32,TOUR32,COMAR32,TPL32,POP37,PRIM37,SEC37,TER37,STU37,TOUR37,COMAR37,TPL37,POP42,PRIM42,SEC42,TER42,STU42,TOUR42,COMAR42,TPL42,POP47,PRIM47,SEC47,TER47,STU47,TOUR47,COMAR47,TPL47,n_zones_in_buffer,station_typology
A21,N21,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),โรงพยาบาลภูมิพลอดุลยเดช,N21 โรงพยาบาลภูมิพลอดุลยเดช,2631.0,4,0,0,0,0,0,0,0,2,0,0,4,1,0,12.0,12.666666666666666,14.0,14.0,82.0,133.0,36.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,21.0,21.0,21.0,4.65,1865.0,985.0,985.0,880.0,997.9,997.9,0.0,0.0,0.0,0.0,1865.0,100.0,0.0,0.0,0.0,0.0,1865.0,100.0,0.0,0.0,0.0,0.0,1865.0,100.0,6100.25,0.0,4.25,5833.5,1986.25,0.0,0.0,0.25,6265.5,0.0,4.25,5912.0,1975.75,0.0,0.0,0.25,6523.25,0.0,4.25,6199.75,1935.75,0.0,0.0,0.25,6722.5,0.0,4.25,6313.0,1842.5,0.0,0.0,0.25,6820.0,0.0,4.25,6362.0,1753.75,0.0,0.0,0.25,6910.0,0.0,4.0,6395.75,1669.25,0.0,0.0,0.25,4,Local Station
A21,N22,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),พิพิธภัณฑ์กองทัพอากาศ,N22 พิพิธภัณฑ์กองทัพอากาศ,2976.0,5,0,0,0,0,0,0,0,2,0,0,4,0,0,18.0,21.25,0.0,0.0,126.0,161.5,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,21.0,21.0,21.0,5.19,1920.0,972.0,972.0,948.0,1016.9,1016.9,0.0,0.0,0.0,0.0,1920.0,100.0,0.0,0.0,150.0,7.8,1770.0,92.2,0.0,0.0,0.0,0.0,1920.0,100.0,7399.666666666667,0.0,2.0,4713.333333333333,1386.0,0.0,0.0,0.3333333333333333,7625.666666666667,0.0,2.0,4774.333333333333,1378.6666666666667,0.0,0.0,0.3333333333333333,7944.666666666667,0.0,2.0,5003.0,1350.6666666666667,0.0,0.0,0.3333333333333333,8173.666666666667,0.0,2.0,5089.666666666667,1285.6666666666667,0.0,0.0,0.3333333333333333,8264.666666666666,0.0,2.0,5123.333333333333,1223.6666666666667,0.0,0.0,0.3333333333333333,8341.0,0.0,1.6666666666666667,5144.666666666667,1164.6666666666667,0.0,0.0,0.3333333333333333,3,Local Station
A21,N23,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),แยก คปอ.,N23 แยก คปอ.,11503.0,5,3,0,0,1,0,0,0,1,1,2,7,0,0,12.0,18.75,0.0,0.0,18.0,167.0,15.0,15.0,0.0,0.0,120.0,120.0,52.0,93.5,0.0,0.0,0,0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,30.0,116.66666666666669,10,19.23,7.2,35.0,4.64,3306.0,1626.0,1626.0,1680.0,2304.9,1777.7,434.0,13.1,409.0,12.4,2463.0,74.5,1454.0,44.0,0.0,0.0,1852.0,56.0,434.0,13.1,409.0,12.4,2463.0,74.5,7470.6,0.0,1413.4,6663.8,183.8,0.0,0.0,0.2,7641.6,0.0,1419.0,6673.0,182.8,0.0,0.0,0.2,7861.6,0.0,1449.6,6987.2,179.2,0.0,0.0,0.2,7953.6,0.0,1432.8,6953.4,170.4,0.0,0.0,0.2,7886.6,0.0,1399.6,6834.8,162.2,0.0,0.0,0.2,7801.6,0.0,1380.6,6704.0,154.4,0.0,0.0,0.2,5,Local Station
A21,N24,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),คูคต,N24 คูคต,16201.0,4,2,0,0,2,0,0,0,1,1,2,6,0,0,8.0,24.5,0.0,0.0,30.0,284.0,42.0,42.0,0.0,0.0,30.0,30.0,60.0,81.0,0.0,0.0,0,0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,8.0,21.0,14,10.24,3.0,21.0,3.13,2628.0,1333.0,1333.0,1295.0,7297.9,1426.6,0.0,0.0,686.0,26.1,1942.0,73.9,822.0,31.3,843.0,32.1,963.0,36.6,0.0,0.0,686.0,26.1,1942.0,73.9,20065.666666666668,3.6666666666666665,319.6666666666667,7132.0,3075.0,34.0,0.0,0.0,19704.333333333332,3.6666666666666665,324.6666666666667,7150.666666666667,3050.3333333333335,35.666666666666664,0.0,0.0,20089.0,3.6666666666666665,339.6666666666667,7473.0,2970.0,40.666666666666664,0.0,0.0,20909.333333333332,3.3333333333333335,350.3333333333333,7748.0,2888.0,46.0,0.0,0.0,21720.0,3.3333333333333335,358.6666666666667,7999.333333333333,2808.3333333333335,49.666666666666664,0.0,0.0,22697.0,3.3333333333333335,370.0,8310.0,2731.0,52.333333333333336,0.0,0.0,3,Local Station
A21,PK02,PK,รฟม.,BTS Group (NBM),แคราย,PK02 แคราย,571.0,6,6,0,0,0,0,0,0,8,0,0,10,0,0,2.0,11.333333333333334,0.0,0.0,37.0,66.5,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,65.5,48,8.64,2.6,31.5,3.9,2704.0,1361.0,1361.0,1343.0,6017.4,1966.5,0.0,0.0,792.0,29.3,1782.0,65.9,871.0,32.2,1158.0,42.8,675.0,25.0,0.0,0.0,333.0,12.3,2371.0,87.7,5950.2,0.0,129.6,8145.4,653.8,40.4,20000.0,0.2,5856.2,0.0,132.0,8264.6,649.2,43.6,20000.0,0.2,6015.6,0.0,138.0,8643.8,632.4,52.6,20000.0,0.2,6173.8,0.0,144.4,9058.2,621.4,63.4,20000.0,0.2,6285.8,0.0,150.0,9416.0,611.0,71.4,20000.0,0.2,6401.4,0.0,155.8,9799.8,600.2,77.0,20000.0,0.2,5,Local Station
A21,PK03,PK,รฟม.,BTS Group (NBM),สนามบินน้ำ,PK03 สนามบินน้ำ,639.0,5,3,0,0,0,0,0,0,2,0,0,5,0,0,4.0,7.666666666666667,0.0,0.0,100.0,179.5,2.5,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,55,6.93,4.2,27.0,3.57,1757.0,929.0,929.0,828.0,7818.8,1340.9,229.0,13.0,464.0,26.4,519.0,29.5,651.0,37.1,963.0,54.8,143.0,8.1,229.0,13.0,950.0,54.1,578.0,32.9,8703.75,0.0,645.75,9049.25,443.0,0.0,0.0,0.25,8200.25,0.0,656.75,9188.75,439.75,0.0,0.0,0.25,8096.25,0.0,687.5,9614.5,428.5,0.0,0.0,0.25,8218.5,0.0,719.75,10077.0,421.25,0.0,0.0,0.25,8358.25,0.0,747.25,10474.75,414.25,0.0,0.0,0.25,8557.75,0.0,776.5,10901.25,406.75,0.0,0.0,0.25,4,Local Station
A21,PK04,PK,รฟม.,BTS Group (NBM),สามัคคี,PK04 สามัคคี,467.0,5,4,0,0,0,0,0,0,2,0,0,3,0,0,8.0,10.5,0.0,0.0,128.0,234.0,3.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,158.5,59,6.15,1.5,21.0,2.57,2229.0,1133.0,1133.0,1096.0,7502.1,1365.1,0.0,0.0,722.0,32.4,759.0,34.1,310.0,13.9,1470.0,65.9,449.0,20.1,0.0,0.0,1171.0,52.5,1058.0,47.5,7586.0,0.0,299.4,11530.8,2555.4,19.4,5336.0,0.2,6989.2,0.0,304.6,11735.6,2537.6,21.0,5336.0,0.2,6751.8,0.0,318.8,12296.8,2472.2,25.4,5336.0,0.2,6892.2,0.0,333.8,12894.6,2429.8,30.4,5336.0,0.2,7108.4,0.0,346.6,13402.6,2387.4,34.4,5336.0,0.2,7421.0,0.0,360.2,13946.8,2346.2,37.2,5336.0,0.2,5,Local Station
A21,PK05,PK,รฟม.,BTS Group (NBM),กรมชลประทาน,PK05 กรมชลประทาน,1085.0,5,1,0,0,0,0,0,0,2,0,0,5,0,0,3.0,6.5,0.0,0.0,48.0,50.5,38.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,18,9.0,3.6,21.0,3.11,2954.0,1481.0,1481.0,1473.0,3054.0,1612.9,0.0,0.0,415.0,14.0,1244.0,42.1,807.0,27.3,1277.0,43.2,870.0,29.5,0.0,0.0,1476.0,50.0,1478.0,50.0,5531.6,0.0,303.2,9450.6,3109.6,21.6,5336.0,0.2,5079.8,0.0,308.4,9614.8,3088.0,23.2,5336.0,0.2,4889.6,0.0,322.8,10072.2,3008.6,28.2,5336.0,0.2,4918.6,0.0,338.0,10561.0,2956.8,33.8,5336.0,0.2,4988.4,0.0,350.8,10977.2,2905.2,38.2,5336.0,0.2,5121.0,0.0,364.6,11423.0,2855.2,41.2,5336.0,0.2,5,Local Station
A21,PK06,PK,รฟม.,BTS Group (NBM),แยกปากเกร็ด,PK06 แยกปากเกร็ด,734.0,8,3,0,0,0,0,0,0,2,0,0,7,0,0,7.0,7.5,0.0,0.0,250.0,290.0,16.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,65,7.8,3.2,28.0,2.14,6637.0,3530.0,3298.0,3339.0,8354.3,4316.9,781.0,11.8,2238.0,33.7,3565.0,53.7,4483.0,67.5,1806.0,27.2,348.0,5.2,2000.0,30.1,2350.0,35.4,2287.0,34.5,6613.2,0.4,881.0,6929.4,1289.8,46.0,5336.0,0.0,6003.6,0.4,896.0,7035.8,1280.8,49.4,5336.0,0.0,5710.4,0.4,938.0,7361.6,1248.0,60.0,5336.0,0.0,5402.2,0.4,982.0,7715.6,1226.2,72.0,5336.0,0.0,5087.2,0.4,1019.4,8020.0,1205.0,81.2,5336.0,0.0,4811.6,0.4,1059.4,8346.6,1184.4,87.8,5336.0,0.0,5,Local Station
A21,PK07,PK,รฟม.,BTS Group (NBM),เลี่ยงเมืองปากเกร็ด,PK07 เลี่ยงเมืองปากเกร็ด,1903.0,5,3,0,0,1,0,0,0,2,0,0,7,0,0,1.2,11.4,0.0,0.0,11.0,26.5,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,43.5,39,7.99,3.0,28.0,2.75,3725.0,1932.0,1770.0,1955.0,5797.6,2203.2,345.0,9.3,2552.0,68.5,828.0,22.2,1467.0,39.4,2258.0,60.6,0.0,0.0,162.0,4.3,1772.0,47.6,1791.0,48.1,8672.666666666666,3.0,2044.6666666666667,8375.166666666666,529.6666666666666,88.66666666666667,4446.666666666667,0.0,8127.833333333333,3.0,2080.0,8523.5,526.0,95.5,4446.666666666667,0.0,7971.666666666667,3.0,2177.1666666666665,8930.5,512.5,115.5,4446.666666666667,0.0,7932.833333333333,2.8333333333333335,2279.5,9364.833333333334,503.5,138.83333333333334,4446.666666666667,0.0,7853.833333333333,2.8333333333333335,2366.1666666666665,9733.666666666666,494.8333333333333,156.83333333333334,4446.666666666667,0.0,7784.333333333333,2.8333333333333335,2459.1666666666665,10129.0,486.3333333333333,169.33333333333334,4446.666666666667,0.0,6,Local Station
